Exp or Imp,Year,Custom,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,1992,404,'010511000',210,,NO,0,32078,16050,0,5241,2181,0,7330,3687,0,2107,1089,0,0,0,0,2580,1388,0,0,0,0,1161,720,0,0,0,0,8374,4496,0,0,0,0,0,0,0,5285,2489
2,1992,404,'010519000',205,,NO,0,1951,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,2326
2,1992,404,'010600010',111,NO,KG,2,60,562,0,0,0,0,0,0,0,0,0,0,0,0,2,60,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1992,404,'010600010',112,NO,KG,2,20,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,232,0,0,0,0,0,0,0,0,0
2,1992,404,'010600010',205,NO,KG,74,507,8887,5,92,1004,11,60,473,6,12,994,0,0,0,2,10,228,12,115,1377,2,17,293,1,9,269,10,71,1525,8,51,1455,17,70,1269,0,0,0
2,1992,404,'010600010',206,NO,KG,5,115,1669,1,35,300,0,0,0,0,0,0,2,40,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,459
2,1992,404,'010600010',207,NO,KG,1,25,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,369,0,0,0,0,0,0,0,0,0
2,1992,404,'010600010',210,NO,KG,7,65,1562,2,25,506,0,0,0,0,0,0,0,0,0,1,5,276,2,20,307,1,10,253,0,0,0,1,5,220,0,0,0,0,0,0,0,0,0
2,1992,404,'010600010',213,NO,KG,1,35,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,346
2,1992,404,'010600010',220,NO,KG,2,70,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,70,438,0,0,0,0,0,0,0,0,0
