Exp or Imp,Year,Custom,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,1995,604,'850110011',103,NO,KG,4170,136,352,0,0,0,0,0,0,0,0,0,4170,136,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1995,604,'850110011',111,NO,KG,6000,20,511,0,0,0,0,0,0,3000,10,265,0,0,0,0,0,0,3000,10,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1995,604,'850110011',113,NO,KG,27432,4119,8057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,2660,4137,13432,1459,3920
2,1995,604,'850110019',111,NO,KG,9966,578,2218,9966,578,2218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1995,604,'850110020',103,NO,KG,64184,30200,13894,0,0,0,31680,15500,7357,0,0,0,0,0,0,32504,14700,6537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1995,604,'850131000',213,NO,KG,81,159,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,96,650,33,63,480,0,0,0,0,0,0
2,1995,604,'850134000',304,NO,KG,4,51272,57156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,51272,57156
2,1995,604,'850152000',218,NO,KG,5,370,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,370,470,0,0,0,0,0,0,0,0,0,0,0,0
2,1995,604,'850162000',204,NO,KG,2,47920,51164,0,0,0,0,0,0,0,0,0,1,28000,25947,1,19920,25217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1995,604,'850162000',205,NO,KG,2,4000,2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4000,2093,0,0,0
2,1995,604,'850162000',304,NO,KG,2,1740,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1740,944,0,0,0,0,0,0
2,1995,604,'850163000',205,NO,KG,1,1410,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1410,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1995,604,'850300000',103,,KG,0,10800,2432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,1586,0,3600,846,0,0,0,0,0,0
