Exp or Imp,Year,Custom,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,1999,500,'500100010',105,,KG,0,35000,35320,0,29000,30295,0,0,0,0,2000,1642,0,0,0,0,0,0,0,4000,3383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1999,500,'500200100',105,,KG,0,1935,3740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,3740
2,1999,500,'500310010',105,,KG,0,97173,76779,0,705,554,0,500,1143,0,3990,2522,0,14560,10460,0,700,1722,0,6460,5754,0,18692,13076,0,4225,4525,0,29390,21238,0,500,810,0,400,867,0,17051,14108
2,1999,500,'500310020',110,,KG,0,8255,4895,0,8255,4895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1999,500,'500310030',105,,KG,0,5250,2109,0,0,0,0,3150,1352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,757
2,1999,500,'500310030',152,,KG,0,14400,3256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14400,3256,0,0,0,0,0,0,0,0,0
2,1999,500,'500310030',410,,KG,0,44500,16133,0,0,0,0,20700,7274,0,0,0,0,0,0,0,20100,7463,0,0,0,0,3700,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1999,500,'500310090',105,,KG,0,4045,2414,0,0,0,0,0,0,0,0,0,0,0,0,0,4045,2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1999,500,'500310090',123,,KG,0,3000,1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,1915
2,1999,500,'500310090',410,,KG,0,11100,5086,0,0,0,0,2100,688,0,0,0,0,0,0,0,4500,2537,0,0,0,0,4500,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1999,500,'500310090',411,,KG,0,2696,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696,1296,0,0,0
2,1999,500,'500390010',105,,KG,0,36572,64619,0,3024,4798,0,0,0,0,2000,6060,0,0,0,0,3824,11253,0,2000,6141,0,2100,1823,0,0,0,0,5192,6600,0,4440,3535,0,11960,19449,0,2032,4960
2,1999,500,'500390090',410,,KG,0,2160,5186,0,0,0,0,2160,5186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1999,500,'500500010',105,,KG,0,24345,74625,0,1000,3048,0,664,3675,0,0,0,0,5398,13279,0,1450,4242,0,470,2609,0,1288,4855,0,0,0,0,3300,10196,0,6406,17950,0,919,3281,0,3450,11490
2,1999,500,'500500010',123,,KG,0,2962,9563,0,0,0,0,0,0,0,0,0,0,1019,3666,0,0,0,0,0,0,0,0,0,0,0,0,0,1943,5897,0,0,0,0,0,0,0,0,0
2,1999,500,'500500010',152,,KG,0,16500,45065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,12845,0,6000,16309,0,0,0,0,6000,15911
2,1999,500,'500500090',105,,KG,0,1920,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1999,500,'500710020',220,SM,KG,691,161,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,161,433
2,1999,500,'500720029',105,SM,KG,209058,20665,90049,27482,3015,12572,16893,1617,7928,2158,178,1004,3075,270,1398,25366,2266,11608,16190,1617,7995,23651,2406,11885,3533,337,1620,19134,1792,6912,12010,1142,5037,30896,2776,9456,28670,3249,12634
2,1999,500,'500720039',105,SM,KG,2147,264,1166,0,0,0,0,0,0,2147,264,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1999,500,'500720092',105,SM,KG,1477,76,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477,76,390,0,0,0,0,0,0,0,0,0
