Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2008,'840130000',210,,KG,0,146,287098,0,0,0,0,0,0,0,146,287098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840130000',304,,KG,0,66550,6936780,0,0,0,0,0,0,0,0,0,0,0,0,0,34687,3189994,0,0,0,0,0,0,0,0,0,0,0,0,0,13439,1850455,0,18424,1896331,0,0,0
2,2008,'840140000',210,,KG,0,449409,1186585,0,2000,9245,0,450,8845,0,0,0,0,800,3767,0,2400,16518,0,0,0,0,2240,10010,0,0,0,0,438110,1066789,0,1280,6694,0,4,55269,0,2125,9448
2,2008,'840140000',304,,KG,0,18957,630791,0,3066,89033,0,240,22290,0,3905,30432,0,1737,251985,0,1336,16936,0,1340,28139,0,580,12681,0,178,5574,0,2723,89435,0,798,13573,0,1683,25637,0,1371,45076
2,2008,'840211000',103,NO,KG,2,540436,279935,0,0,0,0,0,0,0,0,0,0,0,0,1,250541,133585,1,289895,146350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840211000',105,NO,KG,27,656058,526942,0,0,0,0,0,0,0,0,0,1,55500,16879,0,0,0,10,123600,119467,14,329458,326793,0,0,0,1,92000,46718,1,55500,17085,0,0,0,0,0,0
2,2008,'840212000',103,NO,KG,9,563300,319341,1,75100,42000,0,0,0,1,75100,42000,1,69300,42000,0,0,0,1,75100,42000,1,75100,45954,1,69800,46513,2,54000,15136,0,0,0,1,69800,43738,0,0,0
2,2008,'840212000',105,NO,KG,75,2606031,1034457,4,106100,45919,9,332980,128229,7,835767,397829,6,152000,49254,7,185000,58118,7,170000,86507,9,144384,46452,3,93000,35377,8,169300,65454,3,88000,32467,5,144500,45285,7,185000,43566
2,2008,'840212000',117,NO,KG,5,924959,678076,0,0,0,2,493478,426234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,228878,137785,2,202603,114057
2,2008,'840212000',123,NO,KG,1,588,1262,0,0,0,0,0,0,1,588,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840212000',204,NO,KG,1,2600,27774,0,0,0,0,0,0,1,2600,27774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840212000',205,NO,KG,1,11700,12501,0,0,0,0,0,0,0,0,0,1,11700,12501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840219000',105,NO,KG,1,6216,5899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6216,5899,0,0,0
2,2008,'840219000',106,NO,KG,2,5600,3355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5600,3355,0,0,0,0,0,0
2,2008,'840219000',117,NO,KG,12,757790,322932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,757790,322932,0,0,0,0,0,0
2,2008,'840219000',205,NO,KG,1,200,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,261,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840219000',213,NO,KG,4,305,1822,0,0,0,0,0,0,0,0,0,0,0,0,1,76,455,0,0,0,3,229,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840219000',215,NO,KG,4,18,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840220000',103,NO,KG,30,5496,3359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1996,2644,0,0,0,0,0,0,0,0,0,5,3500,715,0,0,0,0,0,0
2,2008,'840220000',105,NO,KG,1,57000,40879,0,0,0,0,0,0,0,0,0,1,57000,40879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840220000',213,NO,KG,2,23819,54442,1,16988,44250,0,0,0,0,0,0,1,6831,10192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840220000',220,NO,KG,8,4504,11069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,664,6234,7,3840,4835
2,2008,'840220000',304,NO,KG,2,2006,3718,0,0,0,0,0,0,0,0,0,0,0,0,2,2006,3718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840290000',103,,KG,0,2903994,1493300,0,6027,15449,0,547837,311638,0,1149954,479176,0,884795,438075,0,48548,40736,0,118487,93161,0,24217,29879,0,25120,14482,0,44180,28704,0,446,865,0,817,3444,0,53566,37691
2,2008,'840290000',105,,KG,0,6919529,3222862,0,1389684,554509,0,519721,314087,0,421236,135290,0,750454,175279,0,843376,716107,0,576176,358548,0,399062,140935,0,131854,37669,0,1319906,590036,0,202693,63547,0,172612,72171,0,192755,64684
2,2008,'840290000',106,,KG,0,453871,235502,0,68448,55781,0,20915,8604,0,19543,8425,0,40522,20716,0,19606,8725,0,19392,8707,0,38210,16127,0,41735,17575,0,37870,15327,0,55259,34496,0,53919,23702,0,38452,17317
2,2008,'840290000',110,,KG,0,75122,18719,0,59915,12139,0,0,0,0,0,0,0,4739,4890,0,0,0,0,8811,1208,0,0,0,0,1657,482,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840290000',111,,KG,0,70681,177825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45933,90414,0,18214,83652,0,0,0,0,6534,3759,0,0,0
2,2008,'840290000',112,,KG,0,2520,5394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520,5394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840290000',113,,KG,0,7292,6327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7292,6327
2,2008,'840290000',117,,KG,0,2707956,1113340,0,0,0,0,66952,19517,0,78961,118141,0,18761,20879,0,1271250,464645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272032,490158
2,2008,'840290000',118,,KG,0,100610,18647,0,0,0,0,18824,3793,0,0,0,0,24192,4419,0,0,0,0,57594,10435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840290000',202,,KG,0,254,1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,1954,0,0,0,0,0,0,0,0,0
2,2008,'840290000',204,,KG,0,245,845,0,0,0,0,0,0,0,0,0,0,245,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840290000',207,,KG,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840290000',208,,KG,0,2,244,0,0,0,0,0,0,0,0,0,0,2,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840290000',210,,KG,0,11623,12206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11623,12206
2,2008,'840290000',213,,KG,0,10652,55577,0,10600,54472,0,0,0,0,3,227,0,0,0,0,0,0,0,0,0,0,49,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008,'840290000',215,,KG,0,1116,6264,0,140,720,0,0,0,0,0,0,0,0,0,0,0,0,0,117,670,0,0,0,0,76,1245,0,280,1465,0,319,1371,0,49,262,0,135,531
2,2008,'840290000',220,,KG,0,21456,43193,0,689,3683,0,285,1329,0,340,2149,0,0,0,0,85,588,0,959,4989,0,1318,5266,0,13977,8062,0,726,3323,0,81,395,0,1018,4897,0,1978,8512
2,2008,'840290000',222,,KG,0,1701,4994,0,0,0,0,0,0,0,769,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,270,1780,0,262,443,0,400,1597,0,0,0,0,0,0
