Exp or Imp,Year,Custom,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,1995,605,'000000011',103,,KG,0,1935,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,231,0,0,0
2,1995,605,'000000011',118,,KG,0,447,225,0,0,0,0,0,0,0,447,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1995,605,'000000011',210,,KG,0,576,1872,0,72,206,0,158,590,0,153,205,0,0,0,0,0,0,0,0,0,0,0,0,0,149,578,0,0,0,0,0,0,0,44,293,0,0,0
2,1995,605,'000000019',103,,KG,0,343,489,0,0,0,0,0,0,0,0,0,0,0,0,0,258,261,0,85,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1995,605,'000000019',106,,KG,0,7442,6089,0,384,1193,0,140,254,0,1452,1322,0,1143,728,0,0,0,0,0,0,0,960,281,0,140,269,0,1372,561,0,0,0,0,968,371,0,883,1110
2,1995,605,'000000019',108,,KG,0,3686,6417,0,76,696,0,0,0,0,457,477,0,63,422,0,434,589,0,148,443,0,736,1619,0,51,536,0,231,248,0,832,939,0,351,203,0,307,245
2,1995,605,'000000019',112,,KG,0,72,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,283,0,0,0
2,1995,605,'000000019',113,,KG,0,722,1402,0,0,0,0,204,205,0,290,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,359
2,1995,605,'000000019',207,,KG,0,1036,3116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961,2913,0,75,203,0,0,0
2,1995,605,'000000019',210,,KG,0,606,3149,0,0,0,0,0,0,0,42,213,0,0,0,0,0,0,0,30,247,0,405,1542,0,117,627,0,0,0,0,0,0,0,0,0,0,12,520
2,1995,605,'000000019',213,,KG,0,962,1787,0,0,0,0,0,0,0,242,543,0,0,0,0,273,222,0,0,0,0,0,0,0,166,261,0,117,204,0,144,265,0,0,0,0,20,292
2,1995,605,'000000019',220,,KG,0,40,467,0,0,0,0,0,0,0,40,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1995,605,'000000019',223,,KG,0,157,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,344,0,0,0
2,1995,605,'000000019',304,,KG,0,6198,30309,0,0,0,0,3,595,0,3346,17228,0,450,1723,0,18,235,0,173,576,0,480,1836,0,245,1513,0,350,1459,0,0,0,0,423,1750,0,710,3394
2,1995,605,'000000019',606,,KG,0,551,2178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,1560,0,0,0,0,236,618
2,1995,605,'000000099',103,,KG,0,28215,320161,0,2741,33380,0,3275,39226,0,3441,32460,0,736,10203,0,1946,16584,0,704,20448,0,1640,23674,0,4760,46912,0,3835,13590,0,2689,15743,0,595,12418,0,1853,55523
2,1995,605,'000000099',105,,KG,0,13830,148670,0,304,6953,0,43,674,0,222,4950,0,7174,55835,0,842,7922,0,1314,11293,0,969,9503,0,675,5685,0,395,10231,0,753,13198,0,1037,19388,0,102,3038
2,1995,605,'000000099',106,,KG,0,5930,121084,0,86,1279,0,617,10875,0,575,17778,0,157,5098,0,18,232,0,2058,23903,0,102,2804,0,182,8095,0,160,3162,0,1061,14573,0,446,17694,0,468,15591
2,1995,605,'000000099',107,,KG,0,18,361,0,0,0,0,0,0,0,0,0,0,0,0,0,18,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1995,605,'000000099',108,,KG,0,12914,112272,0,768,10373,0,1026,12972,0,790,15098,0,2486,8457,0,1012,16654,0,583,12281,0,339,13053,0,507,5218,0,60,1538,0,4662,10031,0,181,3635,0,500,2962
2,1995,605,'000000099',110,,KG,0,35,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1995,605,'000000099',111,,KG,0,8382,200520,0,146,6017,0,1225,21675,0,555,9881,0,1496,55861,0,2465,5221,0,127,3994,0,28,2556,0,451,18376,0,176,21015,0,328,7234,0,185,5357,0,1200,43333
2,1995,605,'000000099',112,,KG,0,7883,274539,0,443,28659,0,368,3508,0,423,20929,0,806,10265,0,618,24292,0,2386,18685,0,743,13735,0,115,7123,0,519,20691,0,346,15074,0,38,3120,0,1078,108458
2,1995,605,'000000099',113,,KG,0,19821,1007263,0,2620,74321,0,1381,58716,0,1100,61443,0,40,41671,0,1618,62547,0,3177,81420,0,1366,60668,0,1335,77609,0,3458,196532,0,2005,111173,0,960,113400,0,761,67763
2,1995,605,'000000099',117,,KG,0,5147,77578,0,40,8498,0,256,15756,0,82,8256,0,134,6609,0,428,3582,0,583,2237,0,495,7292,0,828,7118,0,640,13229,0,210,530,0,953,1491,0,498,2980
2,1995,605,'000000099',118,,KG,0,3090,15358,0,0,0,0,699,3398,0,190,6293,0,158,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043,4927
2,1995,605,'000000099',123,,KG,0,104,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,535,0,0,0,0,0,0,0,0,0
2,1995,605,'000000099',125,,KG,0,484,5800,0,0,0,0,5,297,0,0,0,0,297,2613,0,92,1832,0,2,296,0,0,0,0,0,0,0,0,0,0,0,0,0,88,762,0,0,0
2,1995,605,'000000099',141,,KG,0,2,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1995,605,'000000099',143,,KG,0,6812,35499,0,0,0,0,0,0,0,1250,6778,0,1250,6246,0,1248,6120,0,0,0,0,0,0,0,356,1943,0,1068,5642,0,1640,8770,0,0,0,0,0,0
