Exp or Imp,Year,Custom,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,1988,500,'280300000',103,,KG,0,2443250,184948,0,57200,3965,0,110400,7921,0,111600,7789,0,301000,22866,0,185800,13699,0,408200,30796,0,405950,30843,0,420000,33003,0,42000,3263,0,31800,2636,0,175900,13496,0,193400,14671
2,1988,500,'280300000',105,,KG,0,32900,6702,0,0,0,0,19940,3968,0,12960,2734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1988,500,'280300000',106,,KG,0,207000,12823,0,0,0,0,21600,1209,0,21600,1221,0,21600,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,14400,991,0,14400,985,0,64800,4162,0,48600,3055
2,1988,500,'280300000',111,,KG,0,200000,13050,0,20000,1262,0,40000,2629,0,20000,1310,0,40000,2570,0,40000,2555,0,0,0,0,0,0,0,40000,2724,0,0,0,0,0,0,0,0,0,0,0,0
2,1988,500,'280300000',302,,KG,0,134399,16480,0,0,0,0,16800,2035,0,16799,2033,0,16800,1990,0,0,0,0,16800,1976,0,0,0,0,16800,2184,0,0,0,0,16800,2177,0,33600,4085,0,0,0
2,1988,500,'280300000',304,,KG,0,364799,51596,0,11700,3257,0,16375,1061,0,0,0,0,0,0,0,159,213,0,0,0,0,16800,2110,0,11700,3459,0,142333,17612,0,142332,17332,0,11700,3307,0,11700,3245
2,1988,500,'280421000',304,,KG,0,25,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1988,500,'280429200',304,,KG,0,25,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1988,500,'280469000',105,,KG,0,23980123,3552469,0,2119860,299824,0,1109000,162788,0,1706000,266292,0,1441000,206385,0,1251839,179451,0,2765000,395969,0,2166549,327647,0,3036300,467890,0,2203020,344474,0,2336224,357269,0,1419191,203256,0,2426140,341224
2,1988,500,'280469000',108,,KG,0,339300,49424,0,0,0,0,40000,5797,0,0,0,0,50000,7685,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,6187,0,0,0,0,93300,13234,0,116000,16521
