Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2006,'250100010',103,,MT,0,671,93711,0,78,15911,0,13,772,0,105,15196,0,50,3090,0,56,9195,0,19,913,0,108,17215,0,42,4394,0,61,9418,0,34,2041,0,58,7447,0,47,8119
2,2006,'250100010',105,,MT,0,35649,604383,0,3580,62146,0,2516,38693,0,2138,43062,0,1785,38752,0,1892,41626,0,2730,55512,0,1628,38840,0,1597,35689,0,1611,39130,0,2381,49316,0,9629,94777,0,4162,66840
2,2006,'250100010',107,,MT,0,56,6098,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3170,0,3,479,0,0,0,0,7,1692,0,0,0,0,13,429,0,10,328,0,0,0
2,2006,'250100010',110,,MT,0,1709,35689,0,408,6238,0,353,5223,0,128,3608,0,46,1068,0,116,2672,0,52,1595,0,150,4102,0,106,2671,0,85,2097,0,82,2165,0,102,2369,0,81,1881
2,2006,'250100010',111,,MT,0,720,11249,0,20,306,0,220,3168,0,0,0,0,60,911,0,20,573,0,80,1115,0,80,1689,0,80,1142,0,20,306,0,60,859,0,20,314,0,60,866
2,2006,'250100010',117,,MT,0,207,5186,0,0,0,0,18,863,0,18,866,0,0,0,0,0,0,0,20,238,0,0,0,0,0,0,0,19,521,0,74,1550,0,20,201,0,38,947
2,2006,'250100010',118,,MT,0,340,24577,0,29,2002,0,20,1062,0,77,5532,0,19,1130,0,48,2620,0,39,2566,0,0,0,0,20,1810,0,55,4473,0,12,901,0,1,221,0,20,2260
2,2006,'250100010',123,,MT,0,22,1938,0,0,0,0,3,256,0,0,0,0,6,467,0,0,0,0,0,227,0,8,592,0,0,0,0,0,0,0,0,0,0,5,396,0,0,0
2,2006,'250100010',124,,MT,0,106,5542,0,0,0,0,0,0,0,7,217,0,26,589,0,0,0,0,17,828,0,0,0,0,0,0,0,5,223,0,0,0,0,9,439,0,42,3246
2,2006,'250100010',125,,MT,0,180,5705,0,0,0,0,23,932,0,20,863,0,38,1066,0,19,533,0,0,0,0,0,0,0,21,382,0,20,863,0,0,0,0,0,0,0,39,1066
2,2006,'250100010',143,,MT,0,1119,33185,0,122,2446,0,98,970,0,72,6650,0,100,1214,0,73,2942,0,49,522,0,146,1603,0,64,2119,0,105,2687,0,122,5524,0,87,2281,0,81,4227
2,2006,'250100010',144,,MT,0,70,6245,0,15,1068,0,0,333,0,20,1816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1141,0,0,0,0,19,1887,0,0,0
2,2006,'250100010',203,,MT,0,41,2140,0,0,0,0,21,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1063,0,0,0,0,0,0
2,2006,'250100010',205,,MT,0,189,17006,0,21,1874,0,21,1785,0,42,3682,0,21,1824,0,0,0,0,0,0,0,0,0,0,21,1897,0,42,3978,0,0,0,0,0,0,0,21,1966
2,2006,'250100010',207,,MT,0,2244,149549,0,99,7004,0,215,14430,0,178,11874,0,359,24026,0,452,29832,0,80,5247,0,136,8942,0,77,5036,0,156,10359,0,139,9421,0,195,12733,0,158,10645
2,2006,'250100010',210,,MT,0,395,114113,0,24,5505,0,44,11108,0,14,7933,0,53,13306,0,26,9079,0,27,4673,0,10,2808,0,84,22828,0,40,15208,0,35,4889,0,35,13049,0,3,3727
2,2006,'250100010',213,,MT,0,1435,107214,0,85,7665,0,73,3783,0,188,17485,0,99,4019,0,122,10709,0,136,10470,0,101,9958,0,120,5496,0,126,10559,0,158,12404,0,109,5014,0,118,9652
