Exp or Imp,Year,Custom,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2002,300,'850110011',103,NO,KG,250,426,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,426,282,0,0,0,0,0,0
2,2002,300,'850110011',105,NO,KG,5684216,349796,751879,362846,22481,56960,489098,28770,76436,413725,23409,53547,274879,19915,47386,421020,37504,84994,524869,33025,65922,456117,26835,53440,403280,25316,51330,725603,43078,90256,542875,32097,62059,769717,36611,70059,300187,20755,39490
2,2002,300,'850110011',106,NO,KG,2100,352,1015,0,0,0,0,0,0,0,0,0,100,30,309,0,0,0,0,0,0,0,0,0,0,0,0,1000,162,350,0,0,0,0,0,0,1000,160,356
2,2002,300,'850110011',108,NO,KG,34560,1310,2073,0,0,0,34560,1310,2073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2002,300,'850110011',112,NO,KG,1431950,31477,89874,50100,1028,3512,193400,3724,12381,156700,3247,10612,266600,6381,17139,0,0,0,13800,620,857,294900,6462,17503,0,0,0,222700,4322,12586,88850,2412,5995,0,0,0,144900,3281,9289
2,2002,300,'850110011',113,NO,KG,191410,49013,86476,11008,2580,8484,0,0,0,0,0,0,0,0,0,0,0,0,83260,1727,7412,27300,13650,21417,25280,8632,13716,0,0,0,12180,6090,9565,16842,8564,13697,15540,7770,12185
2,2002,300,'850110011',117,NO,KG,1780,110,637,1500,46,325,0,0,0,0,0,0,0,0,0,280,64,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2002,300,'850110011',304,NO,KG,3840,8143,10531,0,0,0,0,0,0,0,0,0,3840,8143,10531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2002,300,'850110019',103,NO,KG,800,84,1536,0,0,0,0,0,0,0,0,0,800,84,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2002,300,'850110019',105,NO,KG,327158,156547,204548,10000,10000,12076,51880,36946,43000,28988,13069,22792,33100,22182,21840,4228,886,2365,0,0,0,2650,917,2345,63010,23453,33370,71702,19218,30291,0,0,0,10000,4850,5799,51600,25026,30670
