Exp or Imp,Year,Custom,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,1997,522,'030379021',206,,KG,0,324564,34165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324564,34165
2,1997,522,'030379021',207,,KG,0,48980,6186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48980,6186
2,1997,522,'050690090',123,,KG,0,2495704,110073,0,200746,9177,0,198734,9878,0,347571,16538,0,286932,13818,0,56240,2772,0,0,0,0,486830,20422,0,142139,5547,0,144259,5680,0,291844,11108,0,141961,5368,0,198448,9765
2,1997,522,'050690090',124,,KG,0,491214,23052,0,119910,5570,0,61227,2992,0,62981,3092,0,0,0,0,122917,6055,0,0,0,0,0,0,0,61868,2612,0,62311,2731,0,0,0,0,0,0,0,0,0
2,1997,522,'100590091',304,,MT,0,379608,6923257,0,13787,249161,0,36451,659260,0,56843,1069922,0,27158,512373,0,37184,737531,0,38572,705828,0,49111,869341,0,39826,697102,0,30971,490188,0,0,0,0,9901,180750,0,39804,751801
2,1997,522,'100590091',551,,MT,0,80244,1464657,0,19450,378381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13348,229350,0,34767,626396,0,12679,230530,0,0,0
2,1997,522,'100590099',304,,MT,0,1693,30095,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1997,0,550,10137,0,411,7294,0,334,5946,0,298,4721,0,0,0,0,0,0,0,0,0
2,1997,522,'100590099',551,,MT,0,496,9068,0,0,0,0,0,0,0,223,4038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,5030,0,0,0
2,1997,522,'170290529',105,,KG,0,138650,59677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87350,36498,0,0,0,0,0,0,0,0,0,0,0,0,0,51300,23179,0,0,0
2,1997,522,'250490000',105,,MT,0,1127,14847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,14847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1997,522,'250700010',113,,MT,0,4000,65135,0,0,0,0,0,0,0,1000,16323,0,0,0,0,1000,16783,0,0,0,0,0,0,0,1000,15680,0,0,0,0,0,0,0,0,0,0,1000,16349
2,1997,522,'250700010',118,,MT,0,11200,183822,0,0,0,0,1000,15538,0,1000,16039,0,1000,16181,0,900,23125,0,1200,21514,0,1500,21578,0,1500,22062,0,1000,15721,0,1500,23535,0,600,8529,0,0,0
2,1997,522,'250700010',304,,MT,0,107141,2512428,0,10765,241509,0,10750,268012,0,5516,134521,0,15304,369425,0,2608,58315,0,9552,212722,0,8928,203237,0,14704,347359,0,5048,117103,0,10631,247393,0,3338,75486,0,9997,237346
2,1997,522,'250700010',410,,MT,0,768,27384,0,0,0,0,0,0,0,0,0,0,672,24412,0,0,0,0,0,0,0,0,0,0,96,2972,0,0,0,0,0,0,0,0,0,0,0,0
2,1997,522,'251612000',118,,MT,0,100,3710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3710,0,0,0,0,0,0,0,0,0
2,1997,522,'251690000',103,,MT,0,40,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1997,522,'251990099',105,,MT,0,5950,105195,0,500,9274,0,1000,16813,0,0,0,0,1000,19314,0,0,0,0,0,0,0,1450,23549,0,0,0,0,1500,25774,0,0,0,0,0,0,0,500,10471
2,1997,522,'252100000',113,,MT,0,12826,73519,0,2650,15425,0,0,0,0,0,0,0,1200,7647,0,1000,6069,0,3000,17019,0,0,0,0,0,0,0,2200,12341,0,0,0,0,2776,15018,0,0,0
