Exp or Imp,Year,Custom,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,1990,100,'440121000',213,,MT,0,6,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,659,0,0,0,0,0,0,0,0,0
2,1990,100,'440121000',304,,MT,0,203,5309,0,0,0,0,0,0,0,19,1782,0,0,242,0,0,0,0,19,1645,0,0,0,0,165,298,0,0,215,0,0,0,0,0,1127,0,0,0
2,1990,100,'440122000',106,,MT,0,0,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1990,100,'440122000',213,,MT,0,30,2197,0,0,0,0,10,693,0,0,0,0,10,744,0,10,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1990,100,'440122000',304,,MT,0,63,4621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,610,0,17,1259,0,15,1107,0,17,1091,0,7,554
2,1990,100,'440122000',305,,MT,0,1,684,0,0,0,0,0,0,0,1,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1990,100,'440130000',112,,MT,0,14,1911,0,0,0,0,0,0,0,7,929,0,0,0,0,0,0,0,0,0,0,7,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1990,100,'440130000',117,,MT,0,5,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,527,0,0,0,0,0,0
2,1990,100,'440130000',207,,MT,0,1,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,426,0,0,0,0,0,0,0,0,0
2,1990,100,'440130000',213,,MT,0,2,1253,0,0,0,0,0,0,0,0,0,0,1,604,0,0,0,0,0,0,0,0,0,0,1,412,0,0,0,0,0,0,0,0,237,0,0,0
