Exp or Imp,Year,Custom,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2004,101,'500720091',205,SM,KG,730,131,3610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,131,3610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2004,101,'500720091',220,SM,KG,975,70,2476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,27,1044,0,0,0,139,9,367,457,34,1065,0,0,0
2,2004,101,'500720092',123,SM,KG,708,60,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,60,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2004,101,'500720092',220,SM,KG,5510,357,14247,0,0,0,203,10,472,845,60,2503,812,43,2568,0,0,0,1111,104,2174,145,13,438,1836,101,4890,284,12,291,274,14,911,0,0,0,0,0,0
2,2004,101,'500720099',220,SM,KG,529,44,1482,0,0,0,0,0,0,529,44,1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2004,101,'500790091',220,SM,KG,886,178,2677,0,0,0,144,23,495,0,0,0,0,0,0,0,0,0,0,0,0,742,155,2182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2004,101,'500790099',220,SM,KG,392,92,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,92,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2004,101,'510710010',220,,KG,0,505,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2004,101,'511111021',205,SM,KG,564,164,1079,0,0,0,194,55,395,0,0,0,0,0,0,0,0,0,0,0,0,370,109,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2004,101,'511111021',220,SM,KG,3108,835,6479,0,0,0,0,0,0,676,175,998,0,0,0,431,119,824,1643,457,2780,358,84,1877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2004,101,'511111022',210,SM,KG,393,74,377,0,0,0,0,0,0,393,74,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2004,101,'511119020',205,SM,KG,428,167,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,76,434,0,0,0,196,91,544,0,0,0,0,0,0,0,0,0
2,2004,101,'511119020',220,SM,KG,4920,1991,15124,0,0,0,510,191,814,421,190,1056,0,0,0,0,0,0,816,331,3887,1822,657,5909,1351,622,3458,0,0,0,0,0,0,0,0,0,0,0,0
2,2004,101,'511130021',205,SM,KG,880,259,2326,0,0,0,61,27,292,372,111,740,0,0,0,0,0,0,0,0,0,356,90,965,0,0,0,0,0,0,91,31,329,0,0,0,0,0,0
2,2004,101,'511130021',210,SM,KG,329,120,552,0,0,0,0,0,0,329,120,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2004,101,'511130021',220,SM,KG,119,42,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,42,401
2,2004,101,'511190010',205,SM,KG,189,46,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,46,625,0,0,0,0,0,0
2,2004,101,'511190010',220,SM,KG,170,51,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,51,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2004,101,'511190021',205,SM,KG,394,110,707,0,0,0,0,0,0,394,110,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2004,101,'511211020',205,SM,KG,1429,183,1555,294,41,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,142,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2004,101,'511211020',220,SM,KG,10887,1866,18845,468,66,957,286,52,353,424,43,916,311,62,467,468,79,854,918,179,1564,676,131,1175,1590,300,2786,1133,216,1390,1031,143,1419,527,98,952,3055,497,6012
