Exp or Imp,Year,Custom,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2006,404,'900110010',103,,KG,0,28,1359,0,0,0,0,18,408,0,10,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0
2,2006,404,'900110010',105,,KG,0,412,43537,0,16,5881,0,4,2620,0,66,5185,0,8,742,0,4,221,0,0,0,0,28,3605,0,179,12345,0,26,4323,0,46,5406,0,24,2062,0,11,1147
2,2006,404,'900110010',108,,KG,0,28,6878,0,0,0,0,23,1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5467,0,0,0,0,0,0,0,0,0
2,2006,404,'900110010',204,,KG,0,0,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,404,'900110010',205,,KG,0,103,1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,968,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,404,'900110010',213,,KG,0,8,2180,0,2,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1113,0,0,253,0,0,0,0,2,282,0,0,0,0,0,0
2,2006,404,'900110010',222,,KG,0,0,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327
2,2006,404,'900110010',304,,KG,0,113,30300,0,0,0,0,20,1043,0,20,2752,0,0,0,0,43,1662,0,1,207,0,0,0,0,8,12340,0,7,9166,0,1,425,0,1,232,0,12,2473
2,2006,404,'900110010',601,,KG,0,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,404,'900110090',103,,KG,0,269,11577,0,0,0,0,5,621,0,34,1015,0,75,3016,0,45,1803,0,41,2235,0,6,245,0,20,356,0,33,1889,0,10,397,0,0,0,0,0,0
2,2006,404,'900110090',105,,KG,0,725,78210,0,63,13762,0,100,12737,0,78,10037,0,136,11246,0,0,0,0,28,2243,0,15,2218,0,65,3606,0,74,6710,0,47,4687,0,83,7135,0,36,3829
2,2006,404,'900110090',106,,KG,0,287,3661,0,0,0,0,0,0,0,13,349,0,0,0,0,5,593,0,0,0,0,0,0,0,0,0,0,56,725,0,213,1994,0,0,0,0,0,0
2,2006,404,'900110090',108,,KG,0,4,4548,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,404,'900110090',112,,KG,0,5,2146,0,5,2146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,404,'900110090',117,,KG,0,50,708,0,0,0,0,0,0,0,0,0,0,0,0,0,50,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,404,'900110090',205,,KG,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325
2,2006,404,'900110090',210,,KG,0,9,3484,0,0,0,0,4,1737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1747,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,404,'900110090',213,,KG,0,54,1408,0,0,0,0,0,0,0,3,767,0,51,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,404,'900110090',302,,KG,0,58,7842,0,0,594,0,8,3135,0,5,2068,0,0,344,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,45,1268,0,0,0
2,2006,404,'900110090',304,,KG,0,321,40196,0,63,4831,0,17,1067,0,17,4079,0,7,10031,0,64,9520,0,1,616,0,21,3752,0,29,3054,0,3,608,0,81,1062,0,0,0,0,18,1576
2,2006,404,'900110090',601,,KG,0,0,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,442,0,0,0
2,2006,404,'900120000',103,,KG,0,12373,146073,0,585,6346,0,1142,17898,0,644,8360,0,2260,25299,0,2985,40948,0,538,5830,0,373,4176,0,265,3254,0,2294,23866,0,393,4069,0,464,2518,0,430,3509
2,2006,404,'900120000',105,,KG,0,47518,1435650,0,13726,344680,0,6714,125800,0,2738,152877,0,1291,21757,0,4949,27425,0,2573,32134,0,2437,368201,0,2336,67720,0,2143,56502,0,1693,138493,0,3290,40881,0,3628,59180
2,2006,404,'900120000',106,,KG,0,275350,3159445,0,3881,42403,0,3686,38209,0,3586,46463,0,4690,62584,0,1574,31635,0,9135,117798,0,25393,281399,0,23137,287973,0,49942,516628,0,56737,671955,0,65259,771355,0,28330,291043
2,2006,404,'900120000',108,,KG,0,219,8754,0,0,0,0,0,0,0,0,0,0,16,214,0,30,305,0,156,1909,0,17,6326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,404,'900120000',111,,KG,0,78,418,0,0,0,0,0,0,0,0,0,0,78,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,404,'900120000',112,,KG,0,290,387,0,0,0,0,0,0,0,290,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,404,'900120000',113,,KG,0,3,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,983,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,404,'900120000',117,,KG,0,161,3850,0,0,0,0,9,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,2886
2,2006,404,'900120000',143,,KG,0,2,527,0,0,0,0,0,0,0,0,0,0,0,0,0,2,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,404,'900120000',203,,KG,0,2,239,0,2,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,404,'900120000',204,,KG,0,20,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,404,'900120000',205,,KG,0,1,1862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1069,0,0,0,0,0,0,0,0,793
2,2006,404,'900120000',208,,KG,0,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,404,'900120000',210,,KG,0,1,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,861,0,0,0,0,0,0,0,0,0
2,2006,404,'900120000',213,,KG,0,33,45410,0,2,3390,0,4,8194,0,1,2411,0,1,1985,0,1,4084,0,2,2053,0,1,3208,0,1,4724,0,1,3204,0,1,2455,0,3,5441,0,15,4261
2,2006,404,'900120000',224,,KG,0,996,261312,0,32,8879,0,0,0,0,26,7626,0,43,12095,0,58,13194,0,44,11336,0,128,33349,0,102,24436,0,148,39496,0,111,32024,0,99,25241,0,205,53636
2,2006,404,'900120000',225,,KG,0,3,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,235,0,0,0,0,0,0
2,2006,404,'900120000',304,,KG,0,7031,172500,0,1545,5820,0,731,5720,0,1199,8566,0,499,4758,0,310,2373,0,171,8330,0,61,25357,0,284,1388,0,597,40910,0,928,7705,0,644,43813,0,62,17760
2,2006,404,'900130000',103,,NO,0,146572,16182,0,0,0,0,0,0,0,8610,908,0,0,0,0,0,0,0,9213,1069,0,12116,1646,0,68413,7226,0,48220,5333,0,0,0,0,0,0,0,0,0
