Exp or Imp,Year,Custom,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,1992,101,'610110010',103,DZ,KG,8,178,2118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,178,2118,0,0,0,0,0,0,0,0,0
2,1992,101,'610110010',105,DZ,KG,11,115,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,115,700,0,0,0,0,0,0
2,1992,101,'610110010',108,DZ,KG,10,131,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,131,840,0,0,0,0,0,0
2,1992,101,'610110010',205,DZ,KG,2,33,1126,0,0,0,0,0,0,1,12,218,0,0,0,0,0,0,0,14,240,0,0,0,1,7,668,0,0,0,0,0,0,0,0,0,0,0,0
2,1992,101,'610110010',206,DZ,KG,57,833,8190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,723,7177,0,0,0,7,110,1013,0,0,0,0,0,0,0,0,0
2,1992,101,'610110010',208,DZ,KG,1,10,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,295,0,0,0,0,0,0,0,0,0
2,1992,101,'610110010',210,DZ,KG,92,618,6359,0,0,0,0,0,0,50,240,2372,0,0,0,0,0,0,0,0,0,3,54,541,17,132,1181,10,82,1000,12,110,1265,0,0,0,0,0,0
2,1992,101,'610110010',218,DZ,KG,4,99,2997,0,0,0,0,0,0,0,20,595,0,0,0,0,0,0,0,0,0,2,46,1287,2,33,1115,0,0,0,0,0,0,0,0,0,0,0,0
2,1992,101,'610110010',220,DZ,KG,75,630,34790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,248,18759,31,267,8500,4,58,1460,11,57,6071,0,0,0,0,0,0
2,1992,101,'610110010',225,DZ,KG,1,17,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,237,0,0,0,0,0,0
2,1992,101,'610110010',302,DZ,KG,65,1034,8650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,728,7104,0,0,0,11,250,1070,0,0,0,4,56,476
2,1992,101,'610110010',304,DZ,KG,5,25,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,356,0,0,0,0,0,0
2,1992,101,'610110010',601,DZ,KG,5,60,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60,346,0,0,0
2,1992,101,'610110020',103,DZ,KG,8,78,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,569,3,28,325
2,1992,101,'610110020',105,DZ,KG,22,304,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,200,928,6,104,530,0,0,0
2,1992,101,'610110020',210,DZ,KG,12,81,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,372,0,0,0,8,53,959,0,0,0,0,0,0
2,1992,101,'610110020',217,DZ,KG,37,225,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,225,1282,0,0,0,0,0,0,0,0,0,0,0,0
2,1992,101,'610110020',220,DZ,KG,4,49,1851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,1006,0,0,0,0,0,0,2,29,845,0,0,0,0,0,0
2,1992,101,'610120010',103,DZ,KG,168,1430,3196,19,150,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,219,50,360,858,87,890,1486
2,1992,101,'610120010',105,DZ,KG,1175,8454,11112,0,0,0,52,397,928,0,0,0,30,115,644,28,101,373,0,0,0,0,0,0,0,0,0,20,85,747,0,0,0,0,0,0,1045,7756,8420
2,1992,101,'610120010',106,DZ,KG,168,1300,3374,0,0,0,168,1300,3374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1992,101,'610120010',108,DZ,KG,11,90,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,305,0,0,0,0,0,0,7,60,519,0,0,0,0,0,0
2,1992,101,'610120010',111,DZ,KG,54,232,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,165,816,0,0,0,9,67,300,0,0,0,0,0,0,0,0,0
2,1992,101,'610120010',112,DZ,KG,11,49,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,49,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1992,101,'610120010',117,DZ,KG,293,2850,5227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,2300,4116,60,550,1111,0,0,0,0,0,0
2,1992,101,'610120010',118,DZ,KG,18,215,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,85,422,7,70,261,5,60,205,0,0,0
2,1992,101,'610120010',125,DZ,KG,20,152,435,0,0,0,20,152,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1992,101,'610120010',131,DZ,KG,245,1494,13222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,1494,13222,0,0,0,0,0,0
2,1992,101,'610120010',205,DZ,KG,6,89,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,373,0,0,0,4,58,209,0,0,0,1,18,345
2,1992,101,'610120010',210,DZ,KG,282,1984,21005,0,0,0,1,11,302,4,30,343,10,50,486,0,0,0,39,259,2995,2,16,201,154,1191,12519,11,83,964,28,146,1922,8,59,883,25,139,390
2,1992,101,'610120010',217,DZ,KG,12,68,541,7,50,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,224,0,0,0
2,1992,101,'610120010',220,DZ,KG,26,109,3059,12,30,787,2,18,1183,10,45,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,375,0,0,0,0,0,0,0,0,0
2,1992,101,'610120010',230,DZ,KG,13,116,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,116,564,0,0,0,0,0,0,0,0,0,0,0,0
2,1992,101,'610120010',302,DZ,KG,10,60,404,0,0,0,10,60,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1992,101,'610120010',304,DZ,KG,1809,13597,81454,151,1540,8394,323,1708,9690,69,540,2666,79,528,2451,4,30,240,12,57,690,6,78,482,213,1585,10070,370,2962,19532,240,1775,8857,238,1899,13659,104,895,4723
2,1992,101,'610120010',305,DZ,KG,40,154,327,0,0,0,0,0,0,40,154,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1992,101,'610120010',501,DZ,KG,4,30,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,229,0,0,0,0,0,0,0,0,0
2,1992,101,'610120010',606,DZ,KG,5,58,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,58,519,0,0,0,0,0,0,0,0,0
2,1992,101,'610120020',103,DZ,KG,66,425,1161,0,0,0,0,0,0,0,0,0,8,55,224,25,90,327,0,0,0,0,0,0,33,280,610,0,0,0,0,0,0,0,0,0,0,0,0
