Exp or Imp,Year,Custom,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2006,604,'000000091',312,NO,GT,1,1599,950000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1599,950000,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,604,'000000099',103,,KG,0,3187809,1001107,0,7293,5010,0,158711,38477,0,131652,41858,0,467144,186884,0,451578,189229,0,1261403,256183,0,122783,32086,0,18692,18966,0,71568,19615,0,189657,78042,0,195293,88679,0,112035,46078
2,2006,604,'000000099',105,,KG,0,2980756,920972,0,109053,132980,0,125187,54553,0,317176,67783,0,281098,58367,0,156384,58329,0,241118,52768,0,319106,130535,0,300042,45983,0,317043,156706,0,260090,20855,0,323020,130657,0,231439,11456
2,2006,604,'000000099',106,,KG,0,26120,42283,0,0,0,0,6000,8614,0,0,0,0,1800,733,0,1680,16310,0,900,647,0,3426,4022,0,814,1025,0,12,785,0,2856,5213,0,8566,2617,0,66,2317
2,2006,604,'000000099',108,,KG,0,76071,139513,0,0,0,0,450,1571,0,594,210,0,430,2032,0,0,0,0,21142,11338,0,8650,7266,0,38145,109219,0,1800,5290,0,3195,1379,0,776,771,0,889,437
2,2006,604,'000000099',110,,KG,0,203049,22396,0,26745,3321,0,0,0,0,1147,595,0,0,0,0,51,363,0,115,1285,0,74760,13743,0,27,250,0,0,0,0,329,429,0,99875,2410,0,0,0
2,2006,604,'000000099',111,,KG,0,39581,61879,0,5414,1293,0,6243,4860,0,3924,36826,0,2717,2843,0,2464,1158,0,2953,6124,0,5642,1533,0,2583,1229,0,2619,3431,0,2344,1193,0,1049,555,0,1629,834
2,2006,604,'000000099',112,,KG,0,52424,37529,0,15508,5664,0,1080,2000,0,24044,7508,0,1567,2808,0,1854,7687,0,3266,4261,0,540,1000,0,0,0,0,810,1500,0,810,1501,0,2405,2600,0,540,1000
2,2006,604,'000000099',113,,KG,0,6509,39933,0,0,0,0,0,0,0,0,0,0,0,0,0,4250,37780,0,0,0,0,375,673,0,0,0,0,0,0,0,0,0,0,1884,1480,0,0,0
2,2006,604,'000000099',117,,KG,0,64175,18292,0,0,0,0,10206,1615,0,9092,1831,0,0,0,0,13247,5068,0,8570,4413,0,0,0,0,0,0,0,0,0,0,180,779,0,22880,4586,0,0,0
2,2006,604,'000000099',118,,KG,0,267544,110223,0,6866,5679,0,24236,7712,0,21761,4814,0,26974,8467,0,31239,9836,0,7671,2511,0,18339,12138,0,31205,11135,0,28430,6528,0,28937,26471,0,0,0,0,41886,14932
2,2006,604,'000000099',147,,KG,0,3,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1101,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,604,'000000099',203,,KG,0,9837,48819,0,0,0,0,0,0,0,3423,20945,0,0,0,0,100,504,0,0,0,0,0,0,0,6314,27370,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,604,'000000099',205,,KG,0,1184013,163357,0,1670,566,0,0,0,0,0,0,0,8870,1048,0,58666,4783,0,94279,30080,0,85616,15015,0,41659,5753,0,56282,7807,0,199253,14149,0,280379,45214,0,357339,38942
2,2006,604,'000000099',206,,KG,0,6745,3289,0,1900,1588,0,0,0,0,4845,1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,604,'000000099',207,,KG,0,28178,36411,0,3520,343,0,0,0,0,4151,2092,0,4800,3690,0,0,0,0,5600,332,0,0,0,0,10107,29954,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,604,'000000099',208,,KG,0,44754,16588,0,0,0,0,44754,16588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,604,'000000099',209,,KG,0,5776,3219,0,0,0,0,0,0,0,0,0,0,5776,3219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,604,'000000099',210,,KG,0,99763,27034,0,1200,673,0,1680,2867,0,1800,3225,0,12000,355,0,12840,1795,0,1880,3152,0,5723,6173,0,15440,1743,0,840,1465,0,15400,1742,0,15400,1751,0,15560,2093
2,2006,604,'000000099',213,,KG,0,9679,18300,0,0,0,0,584,2797,0,0,0,0,5280,4519,0,0,0,0,0,0,0,0,0,0,0,0,0,335,402,0,620,7945,0,2860,2637,0,0,0
2,2006,604,'000000099',217,,KG,0,3100,254,0,0,0,0,0,0,0,3100,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,604,'000000099',218,,KG,0,37386,7155,0,5860,1092,0,2329,319,0,0,0,0,12096,2254,0,3440,778,0,7044,1287,0,0,0,0,3092,780,0,0,0,0,0,0,0,3525,645,0,0,0
2,2006,604,'000000099',220,,KG,0,279483,80321,0,20995,3872,0,14280,2696,0,23980,8426,0,32499,5285,0,33575,10893,0,18345,7049,0,30699,7643,0,28097,9939,0,0,0,0,0,0,0,73749,20768,0,3264,3750
2,2006,604,'000000099',223,,KG,0,496,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,252,0,0,0,0,0,0
2,2006,604,'000000099',227,,KG,0,2500,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,604,'000000099',304,,KG,0,2279970,494749,0,150753,27699,0,86134,15558,0,202254,49559,0,145507,30931,0,227609,96451,0,132226,82411,0,211093,33045,0,182823,24643,0,235993,37490,0,332661,48610,0,238397,26866,0,134520,21486
2,2006,604,'000000099',409,,KG,0,142100,39741,0,118100,31691,0,24000,8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,604,'000000099',601,,KG,0,931,6765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931,6765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006,604,'000000099',610,,KG,0,2000,6649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,6649
2,2006,604,'000000099',702,,KG,0,47870,4311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47870,4311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
