Exp or Imp,Year,Custom,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2001,300,'160100000',105,,KG,0,278114,110843,0,17712,6695,0,8856,3402,0,26568,10340,0,17712,7223,0,20592,8308,0,38376,15234,0,29174,12011,0,17784,7274,0,26532,10520,0,30708,12007,0,26460,10643,0,17640,7186
2,2001,300,'160100000',204,,KG,0,9004,3045,0,2289,820,0,851,268,0,0,0,0,0,0,0,0,0,0,0,0,0,4864,1646,0,0,0,0,0,0,0,1000,311,0,0,0,0,0,0
2,2001,300,'160100000',213,,KG,0,3526,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1762,1490,0,0,0,0,0,0,0,0,0,0,1764,1519,0,0,0
2,2001,300,'160100000',220,,KG,0,3023,3756,0,0,0,0,0,0,0,899,1205,0,810,1270,0,414,407,0,0,0,0,0,0,0,900,874,0,0,0,0,0,0,0,0,0,0,0,0
2,2001,300,'160100000',227,,KG,0,20610,6145,0,20610,6145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2001,300,'160100000',302,,KG,0,231030,97603,0,21000,7398,0,0,0,0,21000,7967,0,0,0,0,21000,8220,0,21000,9464,0,21000,9485,0,42000,18843,0,21000,9337,0,42030,18309,0,21000,8580,0,0,0
2,2001,300,'160100000',304,,KG,0,498425,160478,0,26912,9226,0,33562,13971,0,45831,15706,0,38917,9804,0,34290,10242,0,23546,8027,0,17897,5912,0,30747,11697,0,17145,5139,0,17145,5297,0,35437,11115,0,176996,54342
2,2001,300,'160100000',601,,KG,0,79452,41155,0,43452,22507,0,0,0,0,36000,18648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2001,300,'160220091',210,,KG,0,2231,6508,0,0,0,0,1072,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,909,2602,0,0,0,0,0,0,0,0,0,0,0,0,0,250,1205
2,2001,300,'160220099',105,,KG,0,624275,273265,0,39584,17040,0,31253,13271,0,78571,34171,0,63726,28516,0,56069,24756,0,34566,15147,0,18592,8441,0,61613,26814,0,58797,25062,0,66890,28803,0,55063,24180,0,59551,27064
2,2001,300,'160231290',227,,KG,0,2050,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050,1313,0,0,0,0,0,0
2,2001,300,'160232210',105,,KG,0,119146,41071,0,6050,3534,0,0,0,0,2400,840,0,10440,6104,0,3900,1698,0,4355,2321,0,5301,2475,0,0,0,0,12390,3610,0,36390,9707,0,21120,5901,0,16800,4881
2,2001,300,'160232290',105,,KG,0,15972586,5880447,0,1264520,464836,0,1044198,388020,0,1454432,548381,0,2016443,674362,0,1701938,626900,0,797942,308187,0,271859,110732,0,598934,252232,0,1533758,550647,0,1553515,553727,0,1788980,600076,0,1946067,802347
2,2001,300,'160232290',111,,KG,0,4177033,1844571,0,291207,128236,0,366474,157343,0,335997,152980,0,327275,149103,0,147838,58860,0,150057,58847,0,491292,212488,0,388769,161077,0,425962,191466,0,439157,201934,0,407517,191927,0,405488,180310
2,2001,300,'160232290',218,,KG,0,1536,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,942,0,0,0,0,0,0,0,0,0,0,0,0
2,2001,300,'160232290',304,,KG,0,2710111,1015455,0,251526,87858,0,224522,78688,0,116504,44118,0,0,0,0,66573,23706,0,51469,18002,0,515950,186110,0,316226,113133,0,299583,104239,0,49930,17060,0,181878,89494,0,635950,253047
2,2001,300,'160239290',105,,KG,0,107971,53374,0,13314,5866,0,5000,2564,0,19414,10151,0,16374,8381,0,14864,7934,0,4831,2355,0,0,0,0,2400,887,0,0,0,0,2400,857,0,3600,1308,0,25774,13071
2,2001,300,'160239290',111,,KG,0,7604,2604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7604,2604
2,2001,300,'160241011',204,,KG,0,975,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,214,0,0,0,0,0,0,0,480,230
2,2001,300,'160241011',304,,KG,0,1088,658,0,0,0,0,0,0,0,326,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,442,0,0,0
2,2001,300,'160241019',105,,KG,0,1236,2380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236,2380,0,0,0,0,0,0
2,2001,300,'160241019',220,,KG,0,423,543,0,0,0,0,0,0,0,0,0,0,0,0,0,423,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2001,300,'160241090',105,,KG,0,120117,66172,0,13680,9637,0,2079,978,0,7544,4864,0,8102,3850,0,14519,6894,0,13202,6973,0,4088,2235,0,10286,7128,0,15724,7623,0,14234,7447,0,9584,7194,0,7075,1349
