wwExp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2015,'860719000',112,  ,KG,0,158,11432,0,0,0,0,0,0,0,0,0,0,0,0,0,53,5068,0,105,6364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860719000',205,  ,KG,0,149720,72918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62880,30234,0,31440,15110,0,55400,27574,0,0,0
2,2015,'860719000',210,  ,KG,0,10268,37217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10268,37217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860719000',213,  ,KG,0,475175,419488,0,63,668,0,65604,52719,0,68095,58856,0,33356,25368,0,26793,24964,0,34052,28064,0,66361,56370,0,35647,33572,0,35763,33950,0,49767,41198,0,56659,56607,0,3015,7152
2,2015,'860719000',215,  ,KG,0,84,8279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,8279,0,0,0
2,2015,'860719000',220,  ,KG,0,1360,2975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,2975,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860719000',225,  ,KG,0,1703,4980,0,0,0,0,0,0,0,1400,3358,0,52,388,0,0,0,0,0,0,0,34,317,0,0,0,0,0,0,0,0,0,0,150,513,0,67,404
2,2015,'860719000',245,  ,KG,0,77036,37201,0,0,0,0,0,0,0,0,0,0,0,0,0,10692,5545,0,0,0,0,9420,4541,0,0,0,0,18840,9052,0,22104,10518,0,0,0,0,15980,7545
2,2015,'860719000',304,  ,KG,0,491,4904,0,0,0,0,0,0,0,0,0,0,0,0,0,371,3194,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1710,0,0,0,0,0,0
2,2015,'860719000',410,  ,KG,0,1035,659,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860721000',103,  ,KG,0,57,436,0,57,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860721000',105,  ,KG,0,116079,559033,0,2750,11067,0,6266,20346,0,11813,60294,0,9216,50555,0,14205,70994,0,9455,42735,0,11290,56524,0,13403,67340,0,13492,65449,0,12876,63861,0,11313,49868,0,0,0
2,2015,'860721000',106,  ,KG,0,45,264,0,0,0,0,0,0,0,45,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860721000',203,  ,KG,0,9452,27109,0,0,0,0,0,0,0,0,0,0,0,0,0,2254,6336,0,2662,7835,0,1285,3767,0,388,970,0,2863,8201,0,0,0,0,0,0,0,0,0
2,2015,'860721000',205,  ,KG,0,59604,243784,0,44,1068,0,0,0,0,713,1514,0,1141,3608,0,0,0,0,7118,26601,0,3569,12283,0,4888,16500,0,7859,40603,0,11184,51342,0,8014,39178,0,15074,51087
2,2015,'860721000',213,  ,KG,0,431293,1021672,0,33194,95881,0,12327,27584,0,60031,127993,0,49331,105685,0,62979,143511,0,26083,72531,0,37779,70633,0,37035,92666,0,27083,68439,0,31187,66653,0,29229,71744,0,25035,78352
2,2015,'860721000',215,  ,KG,0,110,2249,0,0,0,0,60,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,50,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860721000',218,  ,KG,0,2582,6868,0,0,0,0,0,0,0,0,0,0,0,0,0,113,309,0,747,2627,0,0,0,0,1411,3316,0,0,0,0,311,616,0,0,0,0,0,0
2,2015,'860721000',220,  ,KG,0,8756,42855,0,857,4719,0,492,2698,0,965,4956,0,1661,7545,0,190,2909,0,1547,6563,0,24,295,0,1654,8884,0,0,0,0,0,0,0,766,2065,0,600,2221
2,2015,'860721000',225,  ,KG,0,22366,121518,0,12458,76726,0,8328,37674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,320,0,0,0,0,1300,6798,0,0,0,0,0,0
2,2015,'860721000',227,  ,KG,0,167663,529776,0,19773,59776,0,15514,48381,0,22127,86377,0,18758,49448,0,9740,35349,0,23836,80520,0,2176,6314,0,34820,93683,0,2625,11753,0,8388,22774,0,2432,7814,0,7474,27587
2,2015,'860721000',242,  ,KG,0,248,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,590
2,2015,'860721000',245,  ,KG,0,63,285,0,0,0,0,0,0,0,0,0,0,0,0,0,63,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860721000',302,  ,KG,0,400,1938,0,0,0,0,40,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,1248,0,0,0
2,2015,'860721000',304,  ,KG,0,18562,108350,0,0,0,0,301,7702,0,96,1923,0,0,0,0,0,0,0,4082,6184,0,3581,5466,0,8885,60495,0,40,3668,0,403,4190,0,1121,17940,0,53,782
