Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2015,'640110010',220,PR,KG,19,91,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,91,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'640110090',105,PR,KG,2179391,4313909,2467466,285070,569875,323335,190165,363296,207206,110910,207714,123980,229516,454319,255668,158665,318880,175532,159309,307772,173627,173876,338135,192294,151268,302294,180672,206916,406103,245257,220091,462629,255629,173608,344110,198681,119997,238782,135585
2,2015,'640110090',110,PR,KG,64520,134425,99069,3600,7650,5404,0,0,0,5600,11775,8627,17048,35777,26212,3344,7103,5075,5248,10946,7803,7200,14850,11074,9112,18514,14012,6776,13802,10233,0,0,0,1648,3502,2442,4944,10506,8187
2,2015,'640110090',111,PR,KG,3124,8741,10803,0,0,0,0,0,0,31,62,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750,8394,8975,343,285,1556,0,0,0
2,2015,'640110090',113,PR,KG,742,2196,4587,448,1456,2728,0,0,0,0,0,0,54,132,320,0,0,0,0,0,0,54,134,345,126,325,811,0,0,0,60,149,383,0,0,0,0,0,0
2,2015,'640110090',117,PR,KG,23832,48197,39409,0,0,0,3610,8768,5876,3230,6499,5346,1840,2867,3025,3260,6524,5369,2270,4527,3811,2030,4073,3439,1700,3379,2918,1310,2624,2200,4010,7943,6640,176,322,258,396,671,527
2,2015,'640110090',118,PR,KG,5939,15604,10306,0,0,0,0,0,0,2000,5491,3485,1000,2745,1750,0,0,0,0,0,0,0,0,0,0,0,0,2939,7368,5071,0,0,0,0,0,0,0,0,0
2,2015,'640110090',205,PR,KG,530,1309,4722,0,0,0,35,101,1123,0,0,0,0,0,0,245,749,1718,0,0,0,0,0,0,250,459,1881,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'640110090',208,PR,KG,1640,3670,7096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,1420,2910,950,2250,4186,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'640110090',213,PR,KG,11,23,225,0,0,0,0,0,0,11,23,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
