Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2016,'900110010',103,  ,KG,0,38621,356306,0,3510,35424,0,3509,33803,0,3509,33282,0,3510,32314,0,3509,31916,0,3509,31529,0,3509,30491,0,3510,30217,0,3528,30461,0,3509,30614,0,3509,36255,0,0,0
2,2016,'900110010',105,  ,KG,0,7380,298481,0,631,24539,0,255,22578,0,101,9053,0,2244,36311,0,427,15225,0,432,17908,0,422,28729,0,354,16332,0,619,26388,0,249,13218,0,693,35292,0,953,52908
2,2016,'900110010',106,  ,KG,0,26,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,566,0,0,364,0,0,0,0,0,0
2,2016,'900110010',108,  ,KG,0,1,1311,0,0,0,0,0,0,0,1,1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,'900110010',110,  ,KG,0,6754,518697,0,641,53374,0,532,41211,0,1196,69074,0,759,86625,0,418,30574,0,505,48158,0,648,42306,0,848,49519,0,373,25915,0,270,28389,0,258,21808,0,306,21744
2,2016,'900110010',117,  ,KG,0,240,60865,0,0,0,0,0,0,0,24,5988,0,2,288,0,0,0,0,65,16167,0,62,16766,0,36,8982,0,24,5988,0,27,6686,0,0,0,0,0,0
2,2016,'900110010',123,  ,KG,0,7,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,'900110010',203,  ,KG,0,17,3075,0,0,0,0,1,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,610,0,0,0,0,6,2074
2,2016,'900110010',204,  ,KG,0,182,41199,0,0,1056,0,34,6135,0,24,11412,0,34,3205,0,0,0,0,0,552,0,3,2433,0,14,5368,0,3,1680,0,25,911,0,40,4656,0,5,3791
2,2016,'900110010',205,  ,KG,0,26,7286,0,0,0,0,0,0,0,5,2289,0,5,564,0,0,0,0,0,0,0,3,665,0,0,0,0,2,660,0,4,1116,0,0,0,0,7,1992
2,2016,'900110010',207,  ,KG,0,3206,193450,0,526,29399,0,117,18880,0,407,30802,0,292,21893,0,253,19168,0,0,0,0,0,0,0,136,8838,0,506,17675,0,409,18169,0,65,7135,0,495,21491
2,2016,'900110010',208,  ,KG,0,5,1973,0,0,0,0,0,0,0,1,447,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1187,0,0,0,0,0,0,0,1,339,0,0,0
2,2016,'900110010',210,  ,KG,0,1,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,503,0,0,0,0,0,0,0,0,0
2,2016,'900110010',213,  ,KG,0,4239,168277,0,313,13374,0,363,18386,0,474,14549,0,696,15496,0,348,11563,0,254,16385,0,183,8182,0,142,8075,0,316,13203,0,463,20927,0,377,15908,0,310,12229
2,2016,'900110010',215,  ,KG,0,0,206,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,'900110010',222,  ,KG,0,1,1806,0,0,0,0,0,0,0,1,631,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,887,0,0,0,0,0,0,0,0,0
2,2016,'900110010',236,  ,KG,0,2,3303,0,0,0,0,0,631,0,0,0,0,0,0,0,2,2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,'900110010',302,  ,KG,0,12,2559,0,0,0,0,0,0,0,1,720,0,0,0,0,0,0,0,11,1609,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0
