Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2020,'680100000',105,  ,MT,0,59284,2379981,0,7989,367546,0,1131,35283,0,3545,153827,0,7202,255604,0,6749,265058,0,5431,222655,0,4787,181976,0,5375,189392,0,4039,165464,0,3947,159216,0,4162,184015,0,4927,199945
2,2020,'680100000',106,  ,MT,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428
2,2020,'680100000',110,  ,MT,0,31180,734981,0,3052,74896,0,1922,44796,0,1852,43332,0,2728,63940,0,2983,74031,0,3368,81607,0,3309,77237,0,2643,64155,0,2194,49953,0,2601,59404,0,2083,43628,0,2445,58002
2,2020,'680100000',117,  ,MT,0,377,5868,0,43,592,0,22,334,0,49,955,0,0,0,0,0,0,0,0,0,0,107,1497,0,6,396,0,64,892,0,21,281,0,43,603,0,22,318
2,2020,'680100000',118,  ,MT,0,1649,54255,0,174,5721,0,130,3326,0,82,2947,0,121,4279,0,150,4514,0,103,3100,0,141,4652,0,161,4731,0,210,6506,0,131,5058,0,106,3358,0,140,6063
2,2020,'680100000',123,  ,MT,0,6470,203493,0,682,22295,0,801,28520,0,653,21430,0,437,14139,0,123,4724,0,283,8632,0,589,17849,0,638,20249,0,437,12773,0,634,18290,0,679,19119,0,514,15473
2,2020,'680100000',203,  ,MT,0,38,2575,0,0,0,0,0,0,0,15,796,0,0,0,0,0,0,0,0,0,0,0,0,0,9,697,0,0,0,0,0,0,0,14,1082,0,0,0
2,2020,'680100000',205,  ,MT,0,346,11378,0,0,0,0,0,0,0,46,1136,0,17,487,0,0,0,0,140,4829,0,0,0,0,18,1374,0,0,0,0,93,2534,0,9,329,0,23,689
2,2020,'680100000',206,  ,MT,0,279,12981,0,42,1563,0,0,0,0,18,904,0,21,918,0,40,1645,0,21,907,0,15,794,0,19,1374,0,0,0,0,0,0,0,82,3879,0,21,997
2,2020,'680100000',207,  ,MT,0,22,4273,0,0,0,0,0,0,0,0,0,0,22,4273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'680100000',208,  ,MT,0,225,15692,0,0,0,0,41,3525,0,64,4446,0,23,1838,0,0,0,0,17,836,0,0,0,0,10,701,0,15,1001,0,14,1033,0,4,305,0,37,2007
2,2020,'680100000',210,  ,MT,0,43,2041,0,0,0,0,0,0,0,0,0,0,18,1144,0,0,0,0,0,0,0,25,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'680100000',213,  ,MT,0,379,18807,0,20,882,0,40,1781,0,59,2514,0,0,0,0,79,4936,0,0,0,0,0,0,0,0,0,0,37,1785,0,41,1966,0,61,2775,0,42,2168
2,2020,'680100000',218,  ,MT,0,168,5273,0,20,562,0,29,728,0,20,644,0,20,531,0,0,0,0,0,0,0,0,0,0,40,1371,0,0,0,0,0,0,0,20,546,0,19,891
2,2020,'680100000',220,  ,MT,0,692,38089,0,101,3923,0,60,2040,0,128,12608,0,12,608,0,73,3608,0,66,2726,0,47,2048,0,61,3527,0,54,2586,0,11,322,0,18,1049,0,61,3044
2,2020,'680100000',228,  ,MT,0,18,746,0,0,0,0,0,0,0,0,0,0,18,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'680100000',229,  ,MT,0,19,500,0,0,0,0,0,0,0,0,0,0,19,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'680100000',230,  ,MT,0,391,14950,0,65,2795,0,20,647,0,0,0,0,84,2861,0,44,1519,0,15,665,0,0,0,0,54,1968,0,39,1531,0,39,1470,0,25,1234,0,6,260
2,2020,'680100000',232,  ,MT,0,133,6636,0,21,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,882,0,17,973,0,17,1003,0,20,1008,0,17,997,0,20,920
2,2020,'680100000',234,  ,MT,0,305,16934,0,0,0,0,25,1874,0,50,2875,0,21,1413,0,41,1810,0,36,2459,0,17,1080,0,7,734,0,88,4082,0,0,0,0,20,607,0,0,0
2,2020,'680100000',241,  ,MT,0,20,538,0,0,0,0,0,0,0,0,0,0,20,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'680100000',304,  ,MT,0,19,1316,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,903
2,2020,'680100000',410,  ,MT,0,10168,430207,0,980,44410,0,576,24386,0,920,38933,0,805,36322,0,535,22575,0,608,25463,0,894,38457,0,928,38195,0,1053,42727,0,1264,53139,0,708,27974,0,897,37626
2,2020,'680100000',413,  ,MT,0,446,33028,0,24,1197,0,150,12016,0,0,0,0,60,6414,0,59,4568,0,0,0,0,9,581,0,0,0,0,37,2436,0,88,4869,0,0,0,0,19,947
2,2020,'680100000',504,  ,MT,0,18,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'680100000',506,  ,MT,0,66,4526,0,24,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1756,0,0,0,0,0,0,0,0,0,0,18,1215,0,0,0
2,2020,'680100000',519,  ,MT,0,39,1511,0,39,1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'680100000',606,  ,MT,0,168,5247,0,24,789,0,0,0,0,48,1454,0,0,0,0,0,0,0,48,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1574
2,2020,'680210000',105,  ,MT,0,884,98696,0,25,8549,0,120,8016,0,3,1045,0,176,17074,0,4,2814,0,59,7687,0,113,14836,0,72,6270,0,68,10729,0,128,10434,0,73,7910,0,43,3332
2,2020,'680210000',106,  ,MT,0,8,1514,0,0,0,0,0,0,0,0,0,0,5,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,575
