Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2020,'060110090',551,  ,TH,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,202
2,2020,'060110090',606,  ,TH,0,124,7465,0,15,1370,0,21,1848,0,0,0,0,0,0,0,5,223,0,68,3246,0,0,0,0,15,778,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060120000',105,  ,TH,0,1692,35466,0,112,2134,0,43,732,0,186,5880,0,120,3283,0,53,952,0,171,4916,0,180,3014,0,215,2229,0,228,3824,0,178,3754,0,108,2347,0,98,2401
2,2020,'060120000',106,  ,TH,0,1,548,0,0,0,0,0,0,0,0,0,0,1,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060120000',111,  ,TH,0,4,1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,0,4,271,0,0,0,0,0,0
2,2020,'060120000',207,  ,TH,0,2430,41065,0,540,8731,0,270,4515,0,270,4443,0,270,4429,0,0,0,0,540,9451,0,135,2368,0,0,0,0,135,2424,0,135,2376,0,135,2328,0,0,0
2,2020,'060120000',306,  ,TH,0,69,7501,0,11,1227,0,0,0,0,12,1218,0,0,0,0,0,0,0,11,1084,0,0,0,0,13,1405,0,0,0,0,11,1299,0,0,0,0,11,1268
2,2020,'060120000',401,  ,TH,0,31,9262,0,4,1316,0,3,881,0,2,647,0,3,686,0,3,831,0,3,688,0,0,0,0,3,874,0,3,912,0,3,887,0,2,721,0,2,819
2,2020,'060120000',410,  ,TH,0,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060120000',551,  ,TH,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0
