Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2018,'410120111',208,NO,KG,150,2153,1267,150,2153,1267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,'410120111',220,NO,KG,650,6995,2406,250,1525,910,0,0,0,0,0,0,0,0,0,200,3000,705,0,0,0,0,0,0,0,0,0,0,0,0,200,2470,791,0,0,0,0,0,0
2,2018,'410120111',223,NO,KG,381,5340,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,2820,596,0,0,0,0,0,0,0,0,0,179,2520,707,0,0,0,0,0,0
2,2018,'410120111',302,NO,KG,2510,20305,8676,0,0,0,610,4194,2338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,4652,935,0,0,0,1250,6075,4603,350,5384,800,0,0,0
2,2018,'410120112',204,NO,KG,1125,17443,6308,600,9172,3447,0,0,0,525,8271,2861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,'410120112',207,NO,KG,2870,37310,29822,450,5850,4897,0,0,0,0,0,0,0,0,0,0,0,0,450,5850,4669,0,0,0,450,5850,4640,450,5850,4686,0,0,0,535,6955,5482,535,6955,5448
2,2018,'410120112',220,NO,KG,454,4826,2522,0,0,0,0,0,0,0,0,0,0,0,0,454,4826,2522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,'410120112',304,NO,KG,2565,36384,23039,0,0,0,0,0,0,0,0,0,0,0,0,1335,18579,11629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,17805,11410
2,2018,'410120112',601,NO,KG,940,14561,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,14561,1917
2,2018,'410120112',606,NO,KG,8600,112084,32135,0,0,0,0,0,0,1600,20289,6024,1400,18220,5251,1400,18370,5366,1400,18515,5367,1400,18305,5415,0,0,0,0,0,0,1400,18385,4712,0,0,0,0,0,0
2,2018,'410150111',208,NO,KG,1110,22069,5178,0,0,0,0,0,0,0,0,0,1110,22069,5178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,'410150111',210,NO,KG,1431,27012,7873,1431,27012,7873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,'410150111',218,NO,KG,1827,43081,8237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,21572,4123,0,0,0,0,0,0,0,0,0,0,0,0,932,21509,4114
2,2018,'410150111',220,NO,KG,27532,599096,193247,4531,96348,33322,0,0,0,4660,99741,31291,1692,37692,11584,4638,101381,33235,525,12040,3341,1225,25762,7758,1710,38074,12014,1310,28561,8967,4519,97638,32349,1722,39466,12183,1000,22393,7203
