Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2017,'500100010',105,  ,KG,0,6400,17311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4973,0,0,0,0,0,0,0,0,0,0,4400,12338,0,0,0,0,0,0
2,2017,'500200100',105,  ,KG,0,2291,16966,0,620,4765,0,0,0,0,837,6116,0,0,0,0,595,4237,0,0,0,0,0,0,0,0,0,0,239,1848,0,0,0,0,0,0,0,0,0
2,2017,'500200100',123,  ,KG,0,38,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,319
2,2017,'500200211',105,  ,KG,0,3742,22795,0,413,2540,0,497,2900,0,0,0,0,0,0,0,491,2902,0,301,1788,0,0,0,0,354,2070,0,245,1448,0,1019,6264,0,295,2026,0,127,857
2,2017,'500200211',410,  ,KG,0,319,2917,0,0,0,0,0,0,0,0,0,0,0,0,0,20,204,0,0,0,0,59,578,0,118,970,0,0,0,0,0,0,0,122,1165,0,0,0
2,2017,'500200215',105,  ,KG,0,13639,89203,0,2422,14824,0,0,0,0,3066,18882,0,0,0,0,1216,7584,0,1251,8105,0,0,0,0,2442,15464,0,124,771,0,1224,9160,0,1801,14088,0,93,325
2,2017,'500200215',110,  ,KG,0,151,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,734,0,0,0,0,0,0
2,2017,'500200215',111,  ,KG,0,120,819,0,0,0,0,0,0,0,120,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,'500200215',410,  ,KG,0,3386,20276,0,0,0,0,612,4133,0,0,0,0,0,0,0,591,3898,0,0,0,0,587,4086,0,0,0,0,0,0,0,602,4220,0,0,0,0,994,3939
2,2017,'500200216',105,  ,KG,0,40447,255754,0,587,3836,0,0,0,0,3028,16644,0,0,0,0,3672,21533,0,4294,25041,0,3069,18734,0,12831,77801,0,607,4032,0,4936,34381,0,0,0,0,7423,53752
