Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2017,'640110090',105,PR,KG,2107796,4138444,2083844,294886,589880,300749,107308,203849,104808,192125,373907,193587,176506,346257,164893,159981,313132,159892,199463,383874,192944,129004,243590,127068,159147,323905,162451,155110,306166,155462,164576,320627,169556,195971,396941,190341,173719,336316,162093
2,2017,'640110090',110,PR,KG,48916,98989,55603,11500,23259,13761,1648,3235,1921,8544,17412,9747,0,0,0,6198,12499,6780,9166,18590,10109,3296,6787,3749,3568,7118,3916,0,0,0,4996,10089,5620,0,0,0,0,0,0
2,2017,'640110090',111,PR,KG,2234,6115,7699,194,593,296,0,0,0,0,0,0,300,284,1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620,5157,5427,0,0,0,120,81,591
2,2017,'640110090',113,PR,KG,280,843,1712,0,0,0,0,0,0,42,106,255,36,89,220,100,380,586,48,129,304,0,0,0,0,0,0,0,0,0,0,0,0,54,139,347,0,0,0
2,2017,'640110090',117,PR,KG,8330,16534,12769,250,486,399,0,0,0,400,782,621,4060,8052,6207,2020,4029,3089,200,401,302,0,0,0,0,0,0,300,597,446,440,877,681,390,775,601,270,535,423
2,2017,'640110090',118,PR,KG,12214,32096,21457,0,0,0,0,0,0,2400,6678,4157,0,0,0,2400,6593,4121,0,0,0,0,0,0,3400,9186,5321,1014,1608,2966,0,0,0,3000,8031,4892,0,0,0
2,2017,'640110090',203,PR,KG,100,160,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,80,219,50,80,213,0,0,0
2,2017,'640110090',205,PR,KG,1435,3902,8125,295,802,1717,0,0,0,300,816,1696,0,0,0,0,0,0,0,0,0,740,2012,4065,0,0,0,0,0,0,0,0,0,100,272,647,0,0,0
2,2017,'640110090',207,PR,KG,29,72,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,72,266,0,0,0
2,2017,'640110090',210,PR,KG,1485,2360,6192,0,0,0,0,0,0,500,795,1984,0,0,0,0,0,0,0,0,0,480,763,1982,0,0,0,0,0,0,505,802,2226,0,0,0,0,0,0
2,2017,'640110090',217,PR,KG,72,120,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,120,262,0,0,0,0,0,0
2,2017,'640110090',304,PR,KG,26,59,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,59,253,0,0,0,0,0,0,0,0,0
2,2017,'640192010',220,PR,KG,9874,44867,154232,35,165,459,0,0,0,322,1604,11569,0,0,0,70,366,1441,698,3638,15348,777,3458,11845,1425,6742,26089,2636,11381,31397,2081,8892,25833,1691,7952,27295,139,669,2956
2,2017,'640192010',225,PR,KG,10,53,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,53,595,0,0,0
2,2017,'640192010',231,PR,KG,20374,78844,136658,0,0,0,0,0,0,67,281,1559,0,0,0,1071,4517,10806,608,2421,6667,2005,7257,10253,5743,21392,35898,8022,32125,52796,572,2462,3768,2148,7814,13669,138,575,1242
2,2017,'640192090',103,PR,KG,41934,28669,66885,1720,1099,2291,3920,2588,6327,5810,3582,7656,5170,3110,6166,3390,2098,4553,1540,1188,3342,1660,1032,2273,2060,1296,2981,1430,1112,3017,6270,4002,8960,5854,5371,13862,3110,2191,5457
2,2017,'640192090',105,PR,KG,17051880,18766458,12124384,1895573,1975717,1346771,970770,965215,653443,1479254,1621384,987253,1417382,1410789,872873,1520992,1551247,957425,1033577,1086034,675159,890310,1002880,623325,1378727,1632123,1095369,1921617,2432841,1621747,1759362,2115203,1427030,1367874,1526094,944467,1416442,1446931,919522
2,2017,'640192090',106,PR,KG,119776,44032,44051,16536,5085,6450,6912,1756,2082,17520,4453,5297,7440,1891,2182,700,873,522,20340,8112,7302,1990,2505,1702,4340,1932,2228,9150,2940,2976,9329,4274,3745,14999,5556,5489,10520,4655,4076
2,2017,'640192090',110,PR,KG,540559,832621,449269,46876,71148,39832,26972,44648,31886,65980,104827,56292,31804,45058,21969,42817,70410,35936,49351,73536,39560,49365,78998,40642,66551,106563,55248,31398,42192,23212,54057,82429,40895,51704,77408,44011,23684,35404,19786
2,2017,'640192090',111,PR,KG,70948,66108,120104,7524,8454,12556,1585,1607,3266,3180,1381,3918,4732,3838,9186,4316,4077,6843,7158,5855,11243,6262,5106,10079,6083,4561,9098,6013,4031,9678,11923,19512,26456,6172,4083,9695,6000,3603,8086
2,2017,'640192090',117,PR,KG,12390,14853,19348,2023,2841,3388,0,0,0,0,0,0,5516,6753,9103,590,816,868,0,0,0,0,0,0,0,0,0,2021,3141,3494,258,154,325,0,0,0,1982,1148,2170
2,2017,'640192090',118,PR,KG,39423,74786,91897,2732,4206,10233,1008,2463,5442,7438,13571,13307,4589,10315,22121,5158,8361,8467,3520,6487,4533,96,259,511,3144,6903,4463,1506,2392,4320,3318,5086,9838,6800,14479,7871,114,264,791
2,2017,'640192090',203,PR,KG,40,40,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,'640192090',205,PR,KG,75,105,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,105,242,0,0,0,0,0,0,0,0,0
2,2017,'640192090',210,PR,KG,66214,96861,337229,9662,12649,46512,13093,19509,62090,14774,21907,75113,8707,12378,41589,112,106,271,620,522,1209,9114,15857,50763,7112,9897,41260,591,1168,3974,147,223,1079,1232,1428,6517,1050,1217,6852
2,2017,'640192090',217,PR,KG,1588,3419,4966,100,163,606,0,0,0,570,1390,1542,36,30,372,250,256,1268,0,0,0,332,830,602,0,0,0,0,0,0,0,0,0,300,750,576,0,0,0
2,2017,'640192090',218,PR,KG,4342,3068,9233,325,216,493,0,0,0,293,266,718,230,162,563,0,0,0,0,0,0,530,357,1226,1000,768,2622,180,197,560,0,0,0,1274,690,1856,510,412,1195
2,2017,'640192090',220,PR,KG,5521,5977,15650,494,597,1442,350,470,627,2716,2712,3976,70,63,277,1169,1424,5311,58,20,600,334,408,1155,300,246,1575,6,6,270,24,31,417,0,0,0,0,0,0
2,2017,'640192090',225,PR,KG,450,1238,13355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,1156,12243,0,0,0,0,0,0,37,82,1112
2,2017,'640192090',228,PR,KG,621,821,3160,243,389,1200,0,0,0,0,0,0,0,0,0,0,0,0,233,303,1142,0,0,0,0,0,0,98,71,567,47,58,251,0,0,0,0,0,0
2,2017,'640192090',231,PR,KG,1042,1097,3263,0,0,0,6,43,274,0,0,0,0,0,0,120,134,297,240,250,540,0,0,0,0,0,0,0,0,0,198,207,685,478,463,1467,0,0,0
2,2017,'640192090',242,PR,KG,203,196,1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,196,1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,'640192090',246,PR,KG,3576,2302,6905,202,312,963,0,0,0,2207,1103,3214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798,640,1899,369,247,829,0,0,0
2,2017,'640192090',302,PR,KG,476,984,1845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,736,1370,102,248,475,0,0,0
